d,price_usd,rhodl_1m
2014-04-24,503.2918010286,6211.661233333334
2014-04-25,466.4261713442,5849.660933333334
2014-04-26,459.2267098188,5515.5196
2014-04-27,438.7093637173,5219.787333333335
2014-04-28,441.5478054681,4956.016633333333
2014-04-29,447.709930772,4685.163366666667
2014-04-30,448.875715514,4434.7743
2014-05-01,460.194698256,4205.723433333334
2014-05-02,452.2397797617,3986.0468333333333
2014-05-03,438.9785880058,3814.9039
2014-05-04,436.6753986447,3606.315466666667
2014-05-05,432.3381790354,3412.0151
2014-05-06,430.1282053945,3250.4935666666665
2014-05-07,442.1828760959,3104.6226333333334
2014-05-08,440.4027627119,3008.5116333333335
2014-05-09,452.6979997236,2914.6304999999998
2014-05-10,456.7558462887,2818.4365666666667
2014-05-11,439.1144760374,2748.012333333333
2014-05-12,441.2809555815,2683.1682666666666
2014-05-13,439.0057749854,2622.8593666666666
2014-05-14,444.8482057276,2556.785666666667
2014-05-15,446.9615587376,2483.809866666667
2014-05-16,448.7421537113,2399.6862000000006
2014-05-17,449.2222893045,2325.3082999999997
2014-05-18,446.9626414378,2255.8243
2014-05-19,447.4048568089,2188.7218000000003
2014-05-20,490.335648159,2126.3547666666664
2014-05-21,493.9334918177,2069.816566666667
2014-05-22,526.8142884278,2021.3364000000001
2014-05-23,523.6993202805,2009.9926666666665
2014-05-24,527.6912431327,2019.5834666666667
2014-05-25,573.312458796,2036.3701
2014-05-26,584.8479748685,2068.1203333333333
2014-05-27,573.9282692455,2102.915233333333
2014-05-28,579.1893188194,2135.8939
2014-05-29,570.3493109293,2187.5091666666663
2014-05-30,620.8463606078,2243.7853999999998
2014-05-31,627.8924206897,2302.4231
2014-06-01,630.0749535359,2366.899766666667
2014-06-02,663.5057238457,2422.5106666666666
2014-06-03,672.3878971362,2480.3064999999997
2014-06-04,643.8873687902,2546.187766666667
2014-06-05,661.5035581531,2605.8948333333333
2014-06-06,650.1333158971,2664.6115
2014-06-07,656.8002717709,2731.8412333333335
2014-06-08,657.8199748685,2800.9504
2014-06-09,648.3363223261,2881.4544666666666
2014-06-10,650.936609585,2970.6227
2014-06-11,631.4890222092,3102.4881000000005
2014-06-12,591.9750771479,3227.464233333333
2014-06-13,597.0449997078,3349.226833333333
2014-06-14,575.5594617183,3469.8587666666667
2014-06-15,589.7246464056,3588.465333333333
2014-06-16,590.5674821742,3690.483866666667
2014-06-17,609.0800029223,3775.482366666666
2014-06-18,607.6297960257,3806.7936999999997
2014-06-19,595.7514769141,3807.164566666667
2014-06-20,591.5315227937,3811.4911666666662
2014-06-21,592.7643495032,3809.6358000000005
2014-06-22,599.6346335476,3782.4821333333334
2014-06-23,589.5522998247,3755.9033
2014-06-24,579.9737185856,3724.0660333333335
2014-06-25,562.2367799532,3684.7941
2014-06-26,580.7492302747,3645.316433333333
2014-06-27,600.638305377,3606.6900333333333
2014-06-28,594.3903042081,3562.8203000000003
2014-06-29,600.8405184103,3513.1094333333335
2014-06-30,638.9461139684,3465.3245666666667
