,the_date,mvrv_zscore,price_usd
567,2012-04-20,0.132476,5.3665159681
568,2012-04-21,0.110171,5.282550339
569,2012-04-22,0.086186,5.1956089947
570,2012-04-23,0.065346,5.1108881917
571,2012-04-24,0.059266,5.0878672624
572,2012-04-25,0.068953,5.1488162455
573,2012-04-26,0.05707,5.0974192858
574,2012-04-27,0.056721,5.0958873399
575,2012-04-28,0.023935,4.9707366528
576,2012-04-29,0.0087,4.9026061777
577,2012-04-30,0.020299,4.9421168101
578,2012-05-01,0.032427,4.9871372274
579,2012-05-02,0.050191,5.0534373539
580,2012-05-03,0.06749,5.118872979
581,2012-05-04,0.058507,5.0855070883
582,2012-05-05,0.050746,5.0566395646
583,2012-05-06,0.05162,5.0478007729
584,2012-05-07,0.057067,5.067555867
585,2012-05-08,0.045514,5.0234664229
586,2012-05-09,0.050239,5.0413062355
587,2012-05-10,0.019671,4.9274887198
588,2012-05-11,0.030251,4.9637099775
589,2012-05-12,0.022026,4.946532235
590,2012-05-13,0.023002,4.9447950538
591,2012-05-14,0.041851,5.011435922
592,2012-05-15,0.048031,5.0336404004
593,2012-05-16,0.064004,5.0877845091
594,2012-05-17,0.066304,5.0896616864
595,2012-05-18,0.076555,5.1183014828
596,2012-05-19,0.075011,5.1125458112
597,2012-05-20,0.07524,5.0942009684
598,2012-05-21,0.079089,5.0942213101
599,2012-05-22,0.078388,5.0891391888
600,2012-05-23,0.089023,5.1288588998
601,2012-05-24,0.090125,5.1191577592
602,2012-05-25,0.095047,5.1372768065
603,2012-05-26,0.089717,5.1039788048
604,2012-05-27,0.097936,5.134616135
605,2012-05-28,0.098508,5.1363254191
606,2012-05-29,0.101961,5.1484706978
607,2012-05-30,0.099285,5.1382645693
608,2012-05-31,0.117789,5.1816397212
609,2012-06-01,0.140886,5.266943758
610,2012-06-02,0.134137,5.2436390602
611,2012-06-03,0.125508,5.2127049848
612,2012-06-04,0.138232,5.2587658574
613,2012-06-05,0.184101,5.4260142949
614,2012-06-06,0.188929,5.446169422
615,2012-06-07,0.227202,5.5871698098
616,2012-06-08,0.235839,5.6225291017
617,2012-06-09,0.21689,5.5570023355
618,2012-06-10,0.188816,5.4578935693
619,2012-06-11,0.223955,5.5869969816
620,2012-06-12,0.261954,5.7274912987
621,2012-06-13,0.311698,5.9093013238
622,2012-06-14,0.326108,5.9620231821
623,2012-06-15,0.47975,6.5233807192
624,2012-06-16,0.454789,6.4441582823
625,2012-06-17,0.383651,6.199966488
626,2012-06-18,0.414478,6.3108446686
627,2012-06-19,0.465727,6.494826716
628,2012-06-20,0.521956,6.6935510555
629,2012-06-21,0.51413,6.6722625038
630,2012-06-22,0.481107,6.5637616978
631,2012-06-23,0.446814,6.4475416891
632,2012-06-24,0.419016,6.3504940386
633,2012-06-25,0.409827,6.31747363
634,2012-06-26,0.441201,6.4328608288
635,2012-06-27,0.492192,6.6157134015
636,2012-06-28,0.483799,6.590064633
637,2012-06-29,0.502637,6.6587767572
638,2012-06-30,0.508199,6.680427623
639,2012-07-01,0.492277,6.6268600923
640,2012-07-02,0.524328,6.7434780508
641,2012-07-03,0.439957,6.4499924033
642,2012-07-04,0.457649,6.5148353331
643,2012-07-05,0.493823,6.6423986043
644,2012-07-06,0.501415,6.6721811894
645,2012-07-07,0.542402,6.8082737119
646,2012-07-08,0.537332,6.7963176879
647,2012-07-09,0.603746,7.032395886
648,2012-07-10,0.659807,7.1785800357
649,2012-07-11,0.658737,7.185147789
650,2012-07-12,0.763326,7.5559356502
651,2012-07-13,0.780336,7.630921256
652,2012-07-14,0.775553,7.5801291783
653,2012-07-15,0.787837,7.6272348597
654,2012-07-16,1.030222,8.4934056774
655,2012-07-17,1.087479,8.7519848551
656,2012-07-18,1.178838,9.0951926861
657,2012-07-19,1.108077,8.8795334135
658,2012-07-20,1.00483,8.5324506791
659,2012-07-21,1.099189,8.875645841
660,2012-07-22,0.989572,8.5065625441
661,2012-07-23,0.994586,8.5312112694
662,2012-07-24,1.004358,8.5745851707
663,2012-07-25,1.057303,8.7693472729
664,2012-07-26,1.08198,8.8757650462
665,2012-07-27,1.082615,8.8914598942
666,2012-07-28,1.064823,8.8425608942
667,2012-07-29,1.033379,8.7476806593
668,2012-07-30,1.12841,9.088317249
