d,price_usd,sth_realized_price
2017-01-24,887.7431938048,808.4206222176588
2017-01-25,895.6900332554,810.664065999956
2017-01-26,916.6674685564,813.9667931796168
2017-01-27,920.4544634717,815.2458910053051
2017-01-28,922.7749485681,816.7216411127014
2017-01-29,915.6320231444,818.1915726989911
2017-01-30,920.3132607832,819.7304531952327
2017-01-31,968.4991056692,824.4938759871383
2017-02-01,987.532590415,828.0435450734104
2017-02-02,1007.7043659848,832.9870233905708
2017-02-03,1015.3020394506,838.2179496399971
2017-02-04,1033.7859729983,841.5533137504294
2017-02-05,1014.5678757452,844.0823876401685
2017-02-06,1023.3174811806,847.8231639528948
2017-02-07,1053.6244590298,853.3840579782354
2017-02-08,1052.3676453536,857.4155646879888
2017-02-09,982.7519394506,856.1302935196458
2017-02-10,996.6501531268,859.5022042424125
2017-02-11,1011.3753222092,860.8817539618715
2017-02-12,1006.2964648743,862.3167266180579
2017-02-13,999.9531849795,864.0493190909874
2017-02-14,1012.2134635301,866.4536758658295
2017-02-15,1013.9038405026,868.1267417057198
2017-02-16,1036.8068647575,871.3116251776776
2017-02-17,1058.669920339,877.3556184557466
2017-02-18,1060.6688048802,880.2980640321032
2017-02-19,1058.7864003507,882.245151844752
2017-02-20,1088.6884292227,886.7463407939591
2017-02-21,1128.8552931619,893.9767578713073
2017-02-22,1129.7017906487,901.315614203845
2017-02-23,1188.8617855056,911.6135276890438
2017-02-24,1185.4888915839,920.5876971347984
2017-02-25,1151.604736879,922.5869179236541
2017-02-26,1181.7108658679,925.5308878043184
2017-02-27,1194.1524501461,930.9127079009405
2017-02-28,1188.3999407364,934.921444120623
2017-03-01,1228.4596506137,943.7544482930435
2017-03-02,1262.9314673875,953.2225444347443
2017-03-03,1289.3631911163,963.0498757445753
2017-03-04,1268.9406644068,967.9010231653206
2017-03-05,1276.273682934,972.5225766288802
2017-03-06,1282.2546566336,979.8536925228971
2017-03-07,1234.476462069,982.9193119142956
2017-03-08,1152.1393892461,982.2170810199151
2017-03-09,1193.4555265926,984.8365424889892
2017-03-10,1098.5301490357,981.8958053957931
2017-03-11,1176.822921391,986.4637646892579
2017-03-12,1231.7483566336,991.1149471979194
2017-03-13,1239.3962963179,995.6830037327072
2017-03-14,1246.5365648743,1000.1124921839743
2017-03-15,1258.6513814728,1006.6140793964004
2017-03-16,1178.0207503799,1006.5811930415775
2017-03-17,1072.0825381648,999.6041103288293
2017-03-18,962.569056166,991.20211088111
2017-03-19,1020.2202535359,991.3809573877529
2017-03-20,1037.7563458796,992.305704085391
2017-03-21,1111.8182635885,996.8715484082688
2017-03-22,1037.3025701344,994.2069882595716
2017-03-23,1028.1728562829,992.2518446261071
2017-03-24,935.0634962011,983.5426063985576
2017-03-25,968.5433292811,984.1713452589337
2017-03-26,962.958054588,983.5094281797768
2017-03-27,1042.9191977791,988.5480192290206
2017-03-28,1045.1629316189,991.3085434242339
2017-03-29,1039.6886157803,992.9737056789945
2017-03-30,1037.9876614261,994.1996196066137
2017-03-31,1081.7435310929,998.9097402092594
2017-04-01,1089.5247718293,1000.7086804001191
2017-04-02,1105.5629557569,1012.3192799400886
2017-04-03,1144.6647710111,1017.9317892789135
2017-04-04,1141.9219187025,1021.4671728312286
2017-04-05,1135.8116437756,1024.0036701030392
2017-04-06,1194.5964593805,1030.110980082043
2017-04-07,1191.7314510812,1034.219213671416
2017-04-08,1184.417720339,1035.9947129416487
2017-04-09,1213.6341398013,1040.4826969818077
2017-04-10,1211.6498762127,1044.4785842101687
2017-04-11,1229.7849329047,1049.5583197736225
2017-04-12,1216.1143678551,1052.7833200054158
2017-04-13,1172.5583396844,1053.4490128142606
2017-04-14,1174.3332335476,1055.2522282245575
2017-04-15,1175.5621890123,1056.198621770415
2017-04-16,1173.6913798948,1057.0034122506959
2017-04-17,1191.9012014611,1061.7601184997202
2017-04-18,1202.1314580362,1064.894150940114
2017-04-19,1209.5609088837,1068.2731203748071
2017-04-20,1235.8030745178,1073.2568702939188
2017-04-21,1247.3360702513,1076.6787396468671
2017-04-22,1243.5503925774,1078.3166099642197
2017-04-23,1250.0014832262,1080.4148414427793
2017-04-24,1257.239442256,1084.3785386643488
2017-04-25,1279.8647174167,1089.1018012943255
2017-04-26,1296.4854574518,1094.4519549843692
2017-04-27,1345.8899556692,1102.0953798741036
2017-04-28,1347.9851555231,1108.3794701740837
2017-04-29,1357.7152534191,1112.4379019941653
2017-04-30,1381.9563722969,1117.242460585064
2017-05-01,1436.9414880187,1128.0438203310032
2017-05-02,1463.8190684687,1139.3600536658405
2017-05-03,1519.4089444769,1150.6836051844966
2017-05-04,1539.8300515488,1167.728872634025
2017-05-05,1529.8504430158,1177.4072360825608
2017-05-06,1573.2855096143,1188.0754687240303
2017-05-07,1526.2677717125,1193.0221733901853
2017-05-08,1685.0864963179,1214.6667253273822
2017-05-09,1719.2280135593,1231.8301335003857
2017-05-10,1782.499,1247.6215839423849
2017-05-11,1835.4875482174,1267.2542067738582
2017-05-12,1704.6616410871,1272.4082674853405
2017-05-13,1779.840256692,1281.0124748235164
2017-05-14,1794.5935505552,1287.3443006198938
2017-05-15,1736.8828461134,1294.366834584185
2017-05-16,1757.0269485681,1304.2959199028007
2017-05-17,1808.746064699,1320.3698948926703
2017-05-18,1894.2472645529,1333.4234926237305
2017-05-19,1967.5455476914,1352.2621403850546
2017-05-20,2048.1176779953,1369.4577272910844
2017-05-21,2045.2224931619,1384.4935547934294
2017-05-22,2078.9435000292,1410.9815740192003
2017-05-23,2257.2883638223,1446.0121169708714
2017-05-24,2415.0072266511,1481.78087207863
2017-05-25,2319.6013786675,1513.165292647447
2017-05-26,2279.4185836353,1526.8901675120378
2017-05-27,2044.3004998247,1524.0018186858974
2017-05-28,2225.7008666277,1536.8060922630302
2017-05-29,2284.7157974869,1550.9802373239593
2017-05-30,2167.2644779077,1558.1865753172522
2017-05-31,2299.4326102572,1579.9830632971125
2017-06-01,2399.8876319404,1600.0154695069539
2017-06-02,2479.4238943308,1622.2106780730066
2017-06-03,2549.5519515196,1642.1606676502713
2017-06-04,2524.9938335476,1655.5759296316255
2017-06-05,2685.3189167154,1684.3501992802683
2017-06-06,2871.3416773524,1719.3096708140115
2017-06-07,2706.7600088545,1733.0234670259483
2017-06-08,2802.5635468147,1756.149260860515
2017-06-09,2804.8722669199,1775.834694815781
2017-06-10,2916.3278597896,1802.7722108869427
2017-06-11,2974.2145592051,1826.5384931146
2017-06-12,2665.4332699591,1842.6858000336035
2017-06-13,2707.137824021,1862.187883928475
2017-06-14,2443.8244513735,1864.3364721542182
2017-06-15,2409.886764173,1866.0021369990259
2017-06-16,2476.3590953828,1874.953606993209
2017-06-17,2652.7553633548,1884.2936201730565
2017-06-18,2508.2142074226,1892.7773673186418
2017-06-19,2589.642213384,1912.7039996804228
