d,price_usd,address_100_1000
2013-07-21,85.6643502618,9948.0
2013-07-22,85.6490286382,9948.0
2013-07-23,86.977056692,9975.0
2013-07-24,88.1517305669,9951.0
2013-07-25,90.1660922268,9957.0
2013-07-26,89.9839859731,9942.0
2013-07-27,88.1652758621,9964.0
2013-07-28,92.7458421975,9951.0
2013-07-29,93.2986972531,9947.0
2013-07-30,96.659552893,9933.0
2013-07-31,98.0244199299,9897.0
2013-08-01,96.5680178258,9889.0
2013-08-02,96.0745306838,9883.0
2013-08-03,95.5067095266,9848.0
2013-08-04,96.3654821742,9870.0
2013-08-05,97.5271338399,9850.0
2013-08-06,97.6712066043,9870.0
2013-08-07,97.0542068966,9876.0
2013-08-08,94.2572717709,9903.0
2013-08-09,92.4727767387,9897.0
2013-08-10,93.293552893,9906.0
2013-08-11,94.2713123904,9891.0
2013-08-12,95.4464707773,9899.0
2013-08-13,97.7590750847,9917.0
2013-08-14,99.1212875511,9908.0
2013-08-15,98.1063331385,9898.0
2013-08-16,98.2909602572,9948.0
2013-08-17,99.6305043834,9942.0
2013-08-18,99.1780397428,9948.0
2013-08-19,102.7840122735,9934.0
2013-08-20,104.5002109877,9997.0
2013-08-21,110.8016037405,10014.0
2013-08-22,109.5232168323,10005.0
2013-08-23,107.6975715956,10045.0
2013-08-24,108.8826750438,10001.0
2013-08-25,113.0825634132,10051.0
2013-08-26,112.1181148451,10045.0
2013-08-27,117.7597907656,10064.0
2013-08-28,118.3174143776,10058.0
2013-08-29,118.8356382233,10064.0
2013-08-30,124.8853796026,10095.0
2013-08-31,128.3779789597,10155.0
2013-09-01,130.5363720047,10130.0
2013-09-02,129.5653717124,10135.0
2013-09-03,129.1828036236,10197.0
2013-09-04,122.5292387493,10203.0
2013-09-05,122.370085038,10154.0
2013-09-06,117.8611464056,10153.0
2013-09-07,119.8149894798,10162.0
2013-09-08,118.0573863238,10150.0
2013-09-09,121.2592726476,10177.0
2013-09-10,122.2155301894,10227.0
2013-09-11,127.0882270602,10235.0
2013-09-12,126.7807235535,10246.0
2013-09-13,127.4077451783,10240.0
2013-09-14,124.3484774985,10243.0
2013-09-15,125.0764178843,10254.0
2013-09-16,126.2046659848,10289.0
2013-09-17,126.8972501461,10306.0
2013-09-18,126.9038194039,10290.0
2013-09-19,124.1809573349,10258.0
2013-09-20,122.9216358854,10287.0
2013-09-21,123.5082568673,10311.0
2013-09-22,123.1249351257,10324.0
2013-09-23,122.8656990064,10327.0
2013-09-24,123.7973576856,10356.0
2013-09-25,123.614078609,10407.0
2013-09-26,124.6856744594,10413.0
2013-09-27,126.6053477499,10405.0
2013-09-28,126.7965517241,10418.0
2013-09-29,127.1086277031,10433.0
2013-09-30,126.0902618352,10427.0
2013-10-01,127.5754243133,10420.0
2013-10-02,104.1050929281,10470.0
2013-10-03,117.5754950321,10393.0
2013-10-04,121.9303477499,10373.0
2013-10-05,121.3934026885,10395.0
2013-10-06,122.4752612507,10416.0
2013-10-07,123.9068725891,10429.0
2013-10-08,124.7665289305,10456.0
2013-10-09,125.9335203127,10517.0
2013-10-10,126.7046504968,10541.0
2013-10-11,127.2552992402,10525.0
2013-10-12,127.8512630041,10589.0
2013-10-13,132.4156586791,10603.0
2013-10-14,135.3391949153,10598.0
2013-10-15,141.493908533,10469.0
2013-10-16,138.327921917,10467.0
2013-10-17,143.7471338399,10492.0
2013-10-18,152.77557218,10449.0
2013-10-19,165.7727171245,10450.0
2013-10-20,166.5001510812,10512.0
2013-10-21,179.9106285798,10508.0
2013-10-22,190.4027814144,10528.0
2013-10-23,204.6003509643,10517.0
2013-10-24,194.4100437651,10528.0
2013-10-25,185.643787626,11314.0
2013-10-26,179.8082180012,11301.0
2013-10-27,194.5461332554,11341.0
2013-10-28,196.2746873174,11332.0
2013-10-29,204.4281741672,11364.0
2013-10-30,197.900599421,11269.0
2013-10-31,203.2836499123,11287.0
2013-11-01,203.0371098494,11298.0
2013-11-02,204.7928813559,11361.0
2013-11-03,210.2753826117,11333.0
2013-11-04,228.7910388662,11408.0
2013-11-05,243.6416689071,11411.0
2013-11-06,263.2095839871,11391.0
2013-11-07,290.1242261835,11400.0
2013-11-08,333.750656512,11412.0
2013-11-09,331.0511484512,11333.0
2013-11-10,327.5586534997,11286.0
2013-11-11,342.6976928697,11383.0
2013-11-12,354.6454883109,11342.0
2013-11-13,394.5044952244,11394.0
2013-11-14,416.7063033027,11335.0
2013-11-15,408.3987973349,11403.0
2013-11-16,435.7984427674,11430.0
2013-11-17,485.3365768556,11391.0
2013-11-18,657.7785038749,11445.0
2013-11-19,546.8783973115,11386.0
2013-11-20,595.3390996493,11425.0
